Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG_Per,3P,3PA,3P_Per,2P,2PA,2P_Per,eFG_Per,FT,FTA,FT_Per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Owned,ER3,TER3
30,Malik Beasley\beaslma01,SG,23,DEN,6,0,19.5,3.2,8.7,.365,1.8,4.3,.423,1.3,4.3,.308,.471,0.5,0.5,1.000,0.3,1.2,1.5,0.8,1.0,0.2,1.3,1.8,8.7,0,43.701,33.562
31,Marco Belinelli\belinma01,SG,33,SAS,6,0,17.0,1.5,5.0,.300,0.5,2.7,.188,1.0,2.3,.429,.350,0.8,1.2,.714,0.0,1.0,1.0,1.3,0.3,0.0,0.7,0.8,4.3,0,7.707,2.248
32,Jordan Bell\belljo01,PF,25,MIN,3,0,9.3,1.7,2.3,.714,0.0,0.0,,1.7,2.3,.714,.714,0.3,0.3,1.000,1.0,3.3,4.3,0.7,0.0,0.3,2.3,1.0,3.7,0,36.458,18.521
33,DeAndre' Bembry\bembrde01,SG,25,ATL,5,0,25.0,4.6,7.8,.590,0.2,1.0,.200,4.4,6.8,.647,.603,0.8,2.4,.333,1.8,3.0,4.8,3.6,1.4,0.0,1.2,1.6,10.2,0,62.602,53.243
34,Dāvis Bertāns\bertada01,PF,27,WAS,5,0,28.6,4.6,9.4,.489,3.6,7.2,.500,1.0,2.2,.455,.681,1.6,1.8,.889,0.0,3.0,3.0,1.4,0.4,0.2,0.8,2.8,14.4,0,86.876,80.637
35,Patrick Beverley\beverpa01,PG,31,LAC,7,7,30.1,2.6,7.9,.327,0.6,4.4,.129,2.0,3.4,.583,.364,0.4,0.9,.500,1.1,4.9,6.0,3.1,1.7,0.3,1.7,3.3,6.1,0,53.792,40.534
36,Khem Birch\birchkh01,C,27,ORL,2,0,13.5,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,2.0,.250,1.0,2.0,3.0,0.5,0.5,0.0,0.0,0.5,0.5,0,-11.727,-11.727
37,Goga Bitadze\bitadgo01,C,20,IND,4,1,14.3,2.0,4.0,.500,0.5,1.0,.500,1.5,3.0,.500,.563,0.8,1.0,.750,1.0,2.8,3.8,1.0,0.0,2.3,0.8,2.8,5.3,0,81.018,74.779
38,Bismack Biyombo\biyombi01,C,27,CHO,4,1,11.0,1.8,2.3,.778,0.0,0.0,,1.8,2.3,.778,.778,1.0,2.3,.444,0.5,1.5,2.0,1.5,0.0,0.3,1.0,1.8,4.5,0,22.950,15.151
39,Nemanja Bjelica\bjeline01,PF,31,SAC,7,6,25.0,3.6,6.6,.543,1.9,3.6,.520,1.7,3.0,.571,.685,0.3,0.3,1.000,1.4,4.0,5.4,2.3,1.0,0.4,1.1,2.4,9.3,0,90.458,81.879
40,Eric Bledsoe\bledser01,PG,30,MIL,6,6,25.8,4.8,11.8,.408,1.0,4.3,.231,3.8,7.5,.511,.451,1.7,2.7,.625,1.0,4.3,5.3,4.7,0.7,0.0,1.5,2.5,12.3,0,51.650,39.952
41,Bogdan Bogdanović\bogdabo01,SG,27,SAC,7,0,23.4,3.1,10.0,.314,1.9,6.1,.302,1.3,3.9,.333,.407,1.3,2.1,.600,0.1,2.3,2.4,3.1,0.9,0.0,1.1,2.3,9.4,0,32.772,24.193
42,Bojan Bogdanović\bogdabo02,SF,30,UTA,6,6,31.2,7.0,14.2,.494,3.0,6.7,.450,4.0,7.5,.533,.600,3.2,3.3,.950,0.2,4.0,4.2,1.8,1.0,0.5,2.8,3.0,20.2,0,117.464,95.627
43,Jonah Bolden\boldejo01,PF,24,PHI,1,0,2.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,27.200,27.200
44,Isaac Bonga\bongais01,SF,20,WAS,5,5,23.2,2.2,4.4,.500,0.2,0.8,.250,2.0,3.6,.556,.523,1.0,1.6,.625,1.0,3.2,4.2,2.2,1.2,0.2,0.8,3.8,5.6,0,51.328,45.089
45,Devin Booker\bookede01,SG,23,PHO,6,6,34.8,8.8,18.0,.491,2.7,5.7,.471,6.2,12.3,.500,.565,3.5,4.0,.875,0.3,3.2,3.5,5.3,0.5,0.3,3.5,4.2,23.8,0,117.530,90.234
